               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.121,             0.06826,            0.066532,            0.001006,            0.068692,          0.00054132,          0.00011189,             0.11712,            0.053775,            0.066661,              0.0955,              0.0005,              0.0005
                   1,             0.11346,            0.071978,            0.062829,           0.0035113,            0.072001,           0.0024228,          0.00060932,              0.1032,            0.063889,            0.059494,            0.090046,           0.0010455,           0.0010455
                   2,             0.10254,            0.084909,            0.055659,            0.014022,            0.092362,            0.017515,           0.0044623,            0.092472,            0.067301,            0.049889,            0.084532,           0.0015317,           0.0015317
                   3,            0.092529,            0.084504,            0.046415,             0.82265,            0.050041,            0.023533,           0.0060387,            0.088467,            0.075699,            0.040975,            0.078958,           0.0019585,           0.0019585
                   4,            0.085983,               0.083,            0.038067,             0.82619,            0.045254,            0.024118,           0.0059208,             0.08795,             0.10848,            0.037315,            0.073326,           0.0023258,           0.0023258
                   5,            0.081236,            0.074399,            0.033512,             0.84015,            0.053424,            0.042316,            0.010726,            0.080946,            0.096008,            0.034144,            0.067634,           0.0026337,           0.0026337
                   6,            0.077032,            0.071253,            0.031289,             0.84271,             0.08238,             0.07003,            0.020834,            0.081582,            0.076886,            0.030158,            0.061882,           0.0028823,           0.0028823
                   7,            0.074278,            0.069151,            0.028396,             0.85831,             0.10837,              0.1026,            0.034069,            0.075323,            0.070689,            0.026789,            0.056071,           0.0030715,           0.0030715
                   8,              0.0721,            0.070301,            0.026498,             0.86369,             0.11065,             0.11617,             0.03958,            0.073111,            0.066991,            0.024119,            0.050201,           0.0032012,           0.0032012
                   9,             0.07136,            0.070778,            0.024918,             0.87521,             0.10785,             0.12995,            0.045792,            0.069257,             0.06278,            0.021945,            0.044272,           0.0032716,           0.0032716
                  10,            0.068354,            0.066152,            0.021849,             0.87312,             0.10925,             0.13051,            0.045297,            0.067629,            0.057159,            0.020424,            0.038283,           0.0032825,           0.0032825
                  11,            0.068313,            0.065342,            0.020879,             0.64678,             0.24253,             0.15909,            0.055719,            0.065135,            0.053477,            0.019051,            0.032234,           0.0032341,           0.0032341
                  12,            0.065572,            0.066894,            0.019409,             0.68968,             0.25961,             0.18697,            0.065705,            0.062747,            0.052444,            0.018153,            0.026126,           0.0031262,           0.0031262
                  13,            0.064923,            0.062832,            0.019617,             0.72561,             0.23168,             0.19748,            0.065079,            0.062081,            0.051158,            0.017624,            0.019959,            0.002959,            0.002959
                  14,            0.063109,            0.062445,             0.01992,             0.78242,             0.26666,             0.26013,            0.082029,             0.05872,            0.049339,            0.016488,            0.013732,           0.0027323,           0.0027323
                  15,            0.062339,            0.063088,            0.017836,             0.75717,              0.2597,             0.23761,            0.080703,            0.061045,            0.047729,            0.015734,           0.0074463,           0.0024463,           0.0024463
                  16,            0.060503,            0.063766,            0.017647,             0.80386,              0.2693,             0.31226,             0.11435,            0.055174,            0.047806,            0.015012,             0.00208,             0.00208,             0.00208
                  17,            0.059293,            0.068418,            0.015367,             0.81325,             0.27968,             0.33007,             0.13086,            0.055341,            0.047791,            0.014329,             0.00208,             0.00208,             0.00208
                  18,            0.057608,            0.063743,            0.015799,             0.84334,             0.27812,             0.34971,             0.14304,            0.053768,            0.046697,            0.014016,            0.001585,            0.001585,            0.001585
                  19,            0.054996,            0.062966,            0.015226,             0.85474,             0.27365,              0.3668,             0.15031,            0.052479,            0.047124,            0.013824,             0.00109,             0.00109,             0.00109
